path,product,valid_sr,size_bytes,width,height,bands,dtype,crs,resolution_x,resolution_y,bounds_left,bounds_bottom,bounds_right,bounds_top,center_lon,center_lat,compression,sha256
QA/2026-08-23/inf-20260824T140749Z-25.28860N-51.53100E-5597/indices/vegetation/ndre.tiff,INDEX,True,67592972,4120,4100,1,float32,EPSG:32639,1.0,1.0,551395.0,2794965.0,555515.0,2799065.0,51.53097331493687,25.28864112372686,None,
QA/2026-08-23/inf-20260824T140749Z-25.28860N-51.53100E-5597/indices/vegetation/ndvi.tiff,INDEX,True,67592972,4120,4100,1,float32,EPSG:32639,1.0,1.0,551395.0,2794965.0,555515.0,2799065.0,51.53097331493687,25.28864112372686,None,
QA/2026-08-23/inf-20260824T140749Z-25.28860N-51.53100E-5597/indices/vegetation/savi.tiff,INDEX,True,67592972,4120,4100,1,float32,EPSG:32639,1.0,1.0,551395.0,2794965.0,555515.0,2799065.0,51.53097331493687,25.28864112372686,None,
QA/2026-08-23/inf-20260824T140749Z-25.28860N-51.53100E-5597/indices/water/awei.tiff,INDEX,True,67592972,4120,4100,1,float32,EPSG:32639,1.0,1.0,551395.0,2794965.0,555515.0,2799065.0,51.53097331493687,25.28864112372686,None,
QA/2026-08-23/inf-20260824T140749Z-25.28860N-51.53100E-5597/indices/water/mndwi.tiff,INDEX,True,67592972,4120,4100,1,float32,EPSG:32639,1.0,1.0,551395.0,2794965.0,555515.0,2799065.0,51.53097331493687,25.28864112372686,None,
QA/2026-08-23/inf-20260824T140749Z-25.28860N-51.53100E-5597/indices/water/ndmi.tiff,INDEX,True,67592972,4120,4100,1,float32,EPSG:32639,1.0,1.0,551395.0,2794965.0,555515.0,2799065.0,51.53097331493687,25.28864112372686,None,
QA/2026-08-23/inf-20260824T140749Z-25.28860N-51.53100E-5597/indices/water/ndwi.tiff,INDEX,True,67592972,4120,4100,1,float32,EPSG:32639,1.0,1.0,551395.0,2794965.0,555515.0,2799065.0,51.53097331493687,25.28864112372686,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/IRP.tif,IRP,True,50726330,4100,4120,3,uint8,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/MS.tif,MS,True,337907642,4100,4120,10,uint16,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/NDVI.tif,NDVI,True,50726330,4100,4120,3,uint8,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/TCI.tif,TCI,True,50726330,4100,4120,3,uint8,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/indices/burn/nbr.tiff,INDEX,True,67593092,4100,4120,1,float32,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/indices/burn/nbr2.tiff,INDEX,True,67593092,4100,4120,1,float32,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/indices/soil_urban/bsi.tiff,INDEX,True,67593092,4100,4120,1,float32,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/indices/soil_urban/ndbi.tiff,INDEX,True,67593092,4100,4120,1,float32,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/indices/soil_urban/ndti.tiff,INDEX,True,67593092,4100,4120,1,float32,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/indices/vegetation/evi2.tiff,INDEX,True,67593092,4100,4120,1,float32,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/indices/vegetation/gndvi.tiff,INDEX,True,67593092,4100,4120,1,float32,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/indices/vegetation/mtci.tiff,INDEX,True,67593092,4100,4120,1,float32,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/indices/vegetation/ndre.tiff,INDEX,True,67593092,4100,4120,1,float32,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/indices/vegetation/ndvi.tiff,INDEX,True,67593092,4100,4120,1,float32,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
TN/2026-07-24/inf-20260824T144801Z-34.42500N-8.78500E-0dc1/indices/vegetation/savi.tiff,INDEX,True,67593092,4100,4120,1,float32,EPSG:32632,1.0,1.0,478195.0,3807245.0,482295.0,3811365.0,8.785003992135849,34.425029560135826,None,
